id,neighbourhood_cleansed,city,latitude,longitude,property_type,accommodates,bathrooms,bedrooms,price,minimum_nights,maximum_nights,availability_365,number_of_reviews,host_is_superhost,has_wifi,has_kitchen,has_parking,has_tv,has_wash,has_washer,has_garden,has_balcony,LSOA11CD,Index of Multiple Deprivation (IMD) Score,median_house_price_2020,minutes_to_town,minutes_to_rail,minutes_to_airport,room_type_Entire home/apt,room_type_Hotel room,room_type_Private room,room_type_Shared room
27299105,Ancoats and Clayton,Manchester,53.4864,-2.23217,Entire apartment,14,2.0,2.0,336.0,1,1125,356,12,0,1,1,0,1,1,1,0,0,E01033651,21.186,189500.0,15,17,45,1,0,0,0
9625652,Ancoats and Clayton,Manchester,53.48720827322504,-2.2331953064665098,Apartment,14,2.0,2.0,150.0,1,1125,330,1,0,0,1,0,1,1,1,0,0,E01033651,21.186,189500.0,15,17,45,1,0,0,0
45147423,Old Moat,Manchester,53.438069999999996,-2.2262299999999997,Entire house,14,3.0,7.0,193.0,2,1000,362,0,1,1,1,1,1,1,1,0,0,E01005278,26.921999999999997,253500.0,11,39,47,1,0,0,0
29893321,Withington,Manchester,53.43741,-2.2130799999999997,Entire house,14,2.0,6.0,159.0,2,1000,358,19,1,1,1,1,1,1,1,1,1,E01005311,22.405,180000.0,14,28,31,1,0,0,0
341227,Ashley,Bristol,51.466609999999996,-2.5870900000000003,Entire house,14,3.0,5.0,336.0,2,90,0,79,1,1,1,1,0,1,1,1,1,E01014489,35.292,252000.0,13,24,48,1,0,0,0
11234602,Salford District,Manchester,53.52113000000001,-2.3883799999999997,Entire house,13,2.0,4.0,147.0,2,1125,297,168,0,1,1,1,1,1,1,1,1,E01005711,20.016,170000.0,14,44,81,1,0,0,0
29612135,Harpurhey,Manchester,53.50983000000001,-2.20843,Entire house,13,1.0,4.0,600.0,5,1125,90,4,0,1,1,1,1,1,1,0,0,E01005202,77.768,90000.0,27,31,64,1,0,0,0
28552319,Windmill Hill,Bristol,51.4377,-2.59618,Entire townhouse,13,1.0,4.0,2000.0,1,1125,365,3,1,1,1,1,1,1,1,0,0,E01014733,15.062999999999999,352918.0,14,15,33,1,0,0,0
28552319,Windmill Hill,Bristol,51.4377,-2.59618,Entire townhouse,13,1.0,4.0,2000.0,1,1125,365,3,1,1,1,1,1,1,1,0,0,E01014733,15.062999999999999,352918.0,14,15,33,1,0,0,0
28904411,Windmill Hill,Bristol,51.4377,-2.59618,Entire townhouse,5,1.0,5.0,289.0,4,1125,364,3,1,1,1,1,1,1,1,0,0,E01014733,15.062999999999999,352918.0,14,15,33,1,0,0,0
28904411,Windmill Hill,Bristol,51.4377,-2.59618,Entire townhouse,5,1.0,5.0,289.0,4,1125,364,3,1,1,1,1,1,1,1,0,0,E01014733,15.062999999999999,352918.0,14,15,33,1,0,0,0
29760363,Harpurhey,Manchester,53.50904,-2.2078,Entire house,12,1.0,4.0,600.0,2,1125,0,12,0,1,1,1,1,1,1,1,0,E01005227,57.597,107500.0,30,34,66,1,0,0,0
27317525,Salford District,Manchester,53.5048,-2.2637400000000003,Entire house,12,1.0,4.0,116.0,2,1125,89,28,0,1,1,1,1,1,1,0,0,E01005615,49.298,195000.0,22,25,67,1,0,0,0
38258674,Lawrence Hill,Bristol,51.4627,-2.5691200000000003,Entire house,12,1.0,4.0,240.0,2,1125,358,12,0,1,1,1,1,1,1,1,1,E01014653,62.048,163500.0,22,19,50,1,0,0,0
39527992,Cotham,Bristol,51.46712,-2.59125,Entire house,12,3.0,4.0,778.0,1,1125,85,11,1,1,1,0,1,1,1,0,1,E01014487,16.847,317500.0,8,26,55,1,0,0,0
36266662,Ashley,Bristol,51.468740000000004,-2.58867,Entire house,12,2.0,6.0,300.0,7,30,357,1,0,1,1,1,1,1,1,0,1,E01014487,16.847,317500.0,8,26,55,1,0,0,0
